Sentiment,Category,Review
negative,clothing,stylish design highly recommend easy to use highly recommend great product great product stylish design fast shipping disappointed with fast shipping poor customer service great product excellent quality poor customer service stylish design excellent quality poor customer service great product
negative,electronics,easy to use great product stylish design value for money disappointed with highly recommend great product excellent quality great product perfect fit easy to use stylish design great product poor customer service great product highly recommend
positive,electronics,perfect fit poor customer service great product great product easy to use stylish design disappointed with perfect fit perfect fit perfect fit great product
neutral,electronics,highly recommend disappointed with easy to use stylish design stylish design highly recommend perfect fit great product highly recommend excellent quality perfect fit great product
neutral,electronics,fast shipping fast shipping excellent quality disappointed with stylish design stylish design value for money excellent quality perfect fit value for money perfect fit fast shipping
neutral,home appliances,perfect fit great product great product disappointed with fast shipping great product value for money fast shipping fast shipping poor customer service highly recommend great product poor customer service poor customer service
negative,clothing,fast shipping highly recommend disappointed with fast shipping disappointed with highly recommend excellent quality perfect fit
neutral,clothing,disappointed with highly recommend value for money disappointed with disappointed with value for money value for money
negative,clothing,disappointed with easy to use easy to use fast shipping poor customer service stylish design highly recommend
positive,home appliances,poor customer service fast shipping excellent quality highly recommend fast shipping highly recommend fast shipping stylish design
neutral,clothing,value for money great product perfect fit great product excellent quality fast shipping perfect fit easy to use fast shipping disappointed with great product highly recommend value for money
negative,clothing,easy to use highly recommend perfect fit perfect fit fast shipping highly recommend disappointed with excellent quality poor customer service poor customer service stylish design stylish design fast shipping value for money poor customer service fast shipping excellent quality
positive,electronics,stylish design excellent quality perfect fit disappointed with disappointed with excellent quality value for money stylish design value for money
neutral,clothing,perfect fit disappointed with value for money perfect fit fast shipping value for money easy to use stylish design perfect fit stylish design excellent quality easy to use great product value for money great product easy to use great product fast shipping
positive,electronics,perfect fit stylish design perfect fit fast shipping great product excellent quality poor customer service fast shipping poor customer service poor customer service excellent quality stylish design disappointed with stylish design disappointed with fast shipping easy to use great product poor customer service great product
neutral,clothing,value for money easy to use disappointed with easy to use highly recommend highly recommend disappointed with great product stylish design highly recommend disappointed with fast shipping
positive,home appliances,excellent quality poor customer service poor customer service easy to use excellent quality
positive,home appliances,disappointed with highly recommend highly recommend perfect fit easy to use value for money value for money value for money stylish design poor customer service perfect fit perfect fit fast shipping highly recommend perfect fit easy to use poor customer service value for money poor customer service
negative,clothing,great product fast shipping fast shipping perfect fit excellent quality stylish design excellent quality disappointed with easy to use highly recommend great product excellent quality disappointed with disappointed with highly recommend perfect fit
neutral,home appliances,value for money fast shipping perfect fit stylish design stylish design
neutral,electronics,highly recommend poor customer service great product great product excellent quality perfect fit fast shipping great product perfect fit poor customer service value for money poor customer service perfect fit
positive,clothing,value for money highly recommend fast shipping fast shipping stylish design disappointed with great product easy to use excellent quality easy to use stylish design fast shipping
positive,clothing,excellent quality perfect fit highly recommend disappointed with value for money great product poor customer service excellent quality easy to use poor customer service highly recommend poor customer service highly recommend excellent quality highly recommend
neutral,clothing,great product great product value for money fast shipping easy to use disappointed with excellent quality
positive,home appliances,stylish design highly recommend value for money great product great product disappointed with stylish design value for money easy to use
neutral,clothing,stylish design great product stylish design highly recommend highly recommend disappointed with fast shipping stylish design fast shipping excellent quality poor customer service great product highly recommend
negative,clothing,great product disappointed with disappointed with perfect fit value for money stylish design excellent quality disappointed with stylish design stylish design disappointed with stylish design easy to use value for money great product perfect fit excellent quality perfect fit
negative,home appliances,great product disappointed with stylish design highly recommend disappointed with disappointed with value for money value for money fast shipping perfect fit easy to use
neutral,home appliances,excellent quality value for money value for money easy to use perfect fit value for money value for money stylish design
negative,electronics,perfect fit fast shipping great product perfect fit easy to use perfect fit value for money highly recommend disappointed with poor customer service excellent quality stylish design great product stylish design poor customer service excellent quality excellent quality
positive,clothing,easy to use poor customer service stylish design poor customer service value for money highly recommend excellent quality great product stylish design excellent quality great product excellent quality great product fast shipping great product disappointed with
negative,electronics,excellent quality excellent quality value for money highly recommend value for money highly recommend value for money
negative,clothing,disappointed with value for money stylish design easy to use stylish design perfect fit poor customer service highly recommend stylish design perfect fit excellent quality poor customer service poor customer service value for money poor customer service
positive,home appliances,perfect fit highly recommend fast shipping poor customer service easy to use
positive,clothing,value for money disappointed with easy to use excellent quality stylish design easy to use poor customer service easy to use fast shipping fast shipping perfect fit highly recommend easy to use excellent quality great product disappointed with
negative,home appliances,disappointed with great product disappointed with value for money great product excellent quality highly recommend easy to use easy to use perfect fit stylish design highly recommend
neutral,home appliances,excellent quality value for money poor customer service highly recommend great product value for money
neutral,home appliances,value for money highly recommend stylish design poor customer service fast shipping easy to use easy to use perfect fit fast shipping easy to use easy to use value for money highly recommend
negative,clothing,fast shipping stylish design fast shipping poor customer service great product highly recommend great product disappointed with stylish design
positive,electronics,poor customer service disappointed with fast shipping excellent quality stylish design great product value for money great product poor customer service value for money perfect fit disappointed with fast shipping value for money value for money poor customer service great product stylish design
neutral,home appliances,value for money excellent quality stylish design great product value for money excellent quality great product disappointed with poor customer service poor customer service stylish design value for money
negative,clothing,value for money disappointed with highly recommend excellent quality poor customer service stylish design disappointed with disappointed with great product disappointed with value for money great product perfect fit excellent quality value for money disappointed with value for money highly recommend fast shipping
positive,clothing,disappointed with great product perfect fit fast shipping value for money perfect fit easy to use great product great product fast shipping perfect fit highly recommend stylish design disappointed with great product disappointed with
negative,electronics,great product stylish design stylish design disappointed with value for money stylish design easy to use excellent quality disappointed with fast shipping fast shipping great product great product poor customer service great product
neutral,electronics,perfect fit disappointed with fast shipping perfect fit highly recommend excellent quality fast shipping stylish design highly recommend highly recommend easy to use poor customer service disappointed with stylish design value for money value for money value for money easy to use
positive,home appliances,value for money value for money excellent quality highly recommend easy to use perfect fit perfect fit easy to use stylish design fast shipping excellent quality excellent quality value for money excellent quality
negative,home appliances,easy to use excellent quality highly recommend highly recommend great product perfect fit highly recommend poor customer service poor customer service great product highly recommend perfect fit value for money
neutral,home appliances,fast shipping disappointed with great product perfect fit highly recommend stylish design poor customer service value for money stylish design value for money fast shipping stylish design perfect fit great product highly recommend great product excellent quality highly recommend stylish design
positive,electronics,perfect fit stylish design fast shipping excellent quality fast shipping poor customer service easy to use excellent quality poor customer service easy to use perfect fit perfect fit great product
positive,clothing,easy to use perfect fit excellent quality poor customer service disappointed with fast shipping great product disappointed with stylish design stylish design easy to use highly recommend disappointed with excellent quality poor customer service
negative,home appliances,great product highly recommend value for money excellent quality stylish design highly recommend poor customer service value for money disappointed with value for money excellent quality highly recommend fast shipping perfect fit great product easy to use poor customer service
positive,electronics,easy to use excellent quality great product fast shipping great product
positive,electronics,easy to use poor customer service disappointed with fast shipping perfect fit disappointed with value for money stylish design poor customer service perfect fit highly recommend disappointed with value for money disappointed with excellent quality excellent quality value for money highly recommend
negative,electronics,easy to use disappointed with stylish design easy to use value for money excellent quality poor customer service value for money value for money easy to use value for money
positive,clothing,stylish design poor customer service poor customer service easy to use highly recommend value for money stylish design
neutral,clothing,easy to use stylish design easy to use fast shipping great product great product easy to use perfect fit fast shipping stylish design
neutral,electronics,perfect fit perfect fit stylish design great product fast shipping poor customer service perfect fit highly recommend easy to use fast shipping value for money fast shipping disappointed with excellent quality stylish design value for money
negative,clothing,easy to use fast shipping perfect fit excellent quality stylish design perfect fit excellent quality excellent quality
negative,electronics,disappointed with poor customer service poor customer service easy to use stylish design excellent quality stylish design highly recommend great product
positive,home appliances,excellent quality highly recommend highly recommend disappointed with disappointed with easy to use poor customer service great product fast shipping perfect fit disappointed with value for money fast shipping excellent quality poor customer service fast shipping fast shipping stylish design
neutral,clothing,stylish design disappointed with value for money value for money fast shipping excellent quality fast shipping highly recommend fast shipping easy to use stylish design easy to use disappointed with great product poor customer service great product
negative,clothing,easy to use excellent quality easy to use poor customer service value for money excellent quality highly recommend great product highly recommend value for money
negative,electronics,poor customer service fast shipping fast shipping stylish design fast shipping poor customer service disappointed with poor customer service value for money disappointed with value for money disappointed with poor customer service stylish design great product perfect fit value for money great product
neutral,home appliances,disappointed with value for money excellent quality stylish design great product poor customer service fast shipping highly recommend great product highly recommend disappointed with fast shipping value for money
negative,electronics,excellent quality highly recommend value for money great product highly recommend disappointed with highly recommend fast shipping easy to use
negative,home appliances,disappointed with highly recommend perfect fit fast shipping easy to use highly recommend great product stylish design excellent quality easy to use value for money value for money
neutral,electronics,poor customer service excellent quality disappointed with excellent quality great product perfect fit easy to use poor customer service excellent quality
negative,home appliances,poor customer service highly recommend poor customer service perfect fit fast shipping poor customer service excellent quality perfect fit excellent quality poor customer service highly recommend stylish design great product perfect fit great product stylish design highly recommend disappointed with fast shipping great product
negative,clothing,great product disappointed with great product easy to use great product
neutral,electronics,stylish design poor customer service great product excellent quality fast shipping excellent quality highly recommend excellent quality poor customer service poor customer service poor customer service highly recommend perfect fit highly recommend perfect fit excellent quality stylish design value for money
positive,home appliances,excellent quality great product poor customer service excellent quality value for money fast shipping great product disappointed with poor customer service fast shipping poor customer service highly recommend great product value for money easy to use
negative,clothing,disappointed with poor customer service excellent quality stylish design fast shipping highly recommend disappointed with great product excellent quality easy to use value for money disappointed with perfect fit excellent quality excellent quality poor customer service fast shipping
negative,clothing,value for money value for money value for money easy to use easy to use fast shipping disappointed with fast shipping easy to use fast shipping
neutral,electronics,perfect fit value for money stylish design excellent quality great product perfect fit fast shipping great product poor customer service poor customer service easy to use stylish design fast shipping easy to use perfect fit perfect fit
positive,home appliances,value for money easy to use fast shipping highly recommend highly recommend excellent quality stylish design poor customer service fast shipping highly recommend stylish design highly recommend easy to use fast shipping highly recommend value for money
positive,home appliances,stylish design disappointed with fast shipping stylish design stylish design poor customer service great product great product poor customer service excellent quality fast shipping great product perfect fit stylish design
negative,electronics,great product stylish design fast shipping easy to use great product great product highly recommend perfect fit poor customer service excellent quality highly recommend value for money excellent quality value for money easy to use stylish design
positive,home appliances,highly recommend disappointed with disappointed with highly recommend fast shipping perfect fit disappointed with perfect fit easy to use highly recommend fast shipping fast shipping stylish design stylish design fast shipping stylish design perfect fit value for money great product
neutral,clothing,disappointed with value for money excellent quality poor customer service highly recommend great product disappointed with perfect fit poor customer service excellent quality value for money fast shipping value for money fast shipping
positive,clothing,fast shipping poor customer service excellent quality highly recommend disappointed with excellent quality
neutral,home appliances,excellent quality excellent quality stylish design easy to use disappointed with disappointed with
neutral,clothing,easy to use perfect fit disappointed with stylish design easy to use value for money easy to use disappointed with disappointed with highly recommend easy to use excellent quality fast shipping easy to use stylish design
positive,electronics,stylish design poor customer service easy to use perfect fit highly recommend perfect fit perfect fit disappointed with fast shipping disappointed with fast shipping
positive,home appliances,highly recommend easy to use perfect fit highly recommend excellent quality great product great product poor customer service fast shipping value for money poor customer service excellent quality poor customer service perfect fit value for money highly recommend
negative,home appliances,great product poor customer service poor customer service poor customer service value for money poor customer service stylish design
neutral,home appliances,highly recommend easy to use highly recommend poor customer service highly recommend great product poor customer service excellent quality
negative,clothing,disappointed with perfect fit great product poor customer service great product perfect fit fast shipping highly recommend fast shipping fast shipping disappointed with disappointed with disappointed with excellent quality
negative,electronics,great product perfect fit stylish design perfect fit disappointed with disappointed with disappointed with
positive,electronics,great product fast shipping great product excellent quality poor customer service fast shipping excellent quality easy to use value for money easy to use perfect fit poor customer service disappointed with stylish design great product great product great product disappointed with stylish design
neutral,clothing,easy to use fast shipping disappointed with fast shipping fast shipping stylish design stylish design easy to use
positive,clothing,poor customer service fast shipping perfect fit stylish design stylish design perfect fit disappointed with perfect fit highly recommend disappointed with fast shipping highly recommend fast shipping fast shipping excellent quality stylish design
negative,clothing,fast shipping value for money poor customer service perfect fit perfect fit easy to use fast shipping perfect fit poor customer service value for money poor customer service highly recommend disappointed with easy to use highly recommend
positive,clothing,great product great product stylish design disappointed with value for money value for money stylish design perfect fit fast shipping poor customer service poor customer service fast shipping great product fast shipping highly recommend stylish design excellent quality
positive,home appliances,poor customer service value for money highly recommend value for money stylish design
negative,home appliances,excellent quality easy to use easy to use fast shipping poor customer service perfect fit stylish design poor customer service value for money easy to use highly recommend great product excellent quality
neutral,electronics,easy to use highly recommend highly recommend highly recommend perfect fit value for money great product perfect fit perfect fit great product poor customer service easy to use stylish design excellent quality easy to use highly recommend stylish design disappointed with
positive,electronics,excellent quality disappointed with poor customer service easy to use easy to use great product fast shipping excellent quality disappointed with fast shipping fast shipping poor customer service value for money stylish design perfect fit poor customer service stylish design value for money stylish design
negative,electronics,value for money excellent quality excellent quality disappointed with poor customer service value for money stylish design excellent quality
positive,electronics,value for money disappointed with easy to use excellent quality poor customer service poor customer service fast shipping stylish design excellent quality great product disappointed with great product perfect fit disappointed with stylish design value for money highly recommend value for money excellent quality
negative,electronics,highly recommend great product disappointed with poor customer service disappointed with easy to use great product fast shipping poor customer service excellent quality fast shipping easy to use perfect fit easy to use highly recommend great product easy to use stylish design
neutral,electronics,fast shipping disappointed with perfect fit value for money poor customer service highly recommend highly recommend highly recommend value for money excellent quality value for money excellent quality value for money
positive,electronics,great product poor customer service stylish design excellent quality disappointed with value for money easy to use perfect fit disappointed with disappointed with highly recommend highly recommend great product excellent quality
negative,electronics,poor customer service value for money easy to use easy to use fast shipping highly recommend poor customer service
neutral,electronics,easy to use fast shipping stylish design fast shipping value for money value for money excellent quality easy to use disappointed with value for money perfect fit fast shipping perfect fit fast shipping value for money highly recommend poor customer service perfect fit fast shipping stylish design
positive,home appliances,fast shipping highly recommend value for money fast shipping excellent quality
negative,home appliances,excellent quality excellent quality poor customer service disappointed with perfect fit disappointed with stylish design highly recommend perfect fit fast shipping fast shipping perfect fit excellent quality value for money disappointed with disappointed with poor customer service highly recommend great product
negative,clothing,easy to use great product easy to use poor customer service perfect fit highly recommend poor customer service great product disappointed with fast shipping perfect fit value for money easy to use fast shipping fast shipping easy to use fast shipping perfect fit
neutral,home appliances,excellent quality excellent quality perfect fit poor customer service value for money disappointed with poor customer service stylish design easy to use perfect fit excellent quality easy to use fast shipping excellent quality easy to use disappointed with easy to use excellent quality
neutral,home appliances,great product perfect fit fast shipping value for money highly recommend disappointed with highly recommend stylish design easy to use perfect fit highly recommend disappointed with great product fast shipping excellent quality perfect fit stylish design stylish design value for money
positive,clothing,fast shipping excellent quality value for money easy to use easy to use excellent quality highly recommend excellent quality disappointed with fast shipping value for money easy to use great product disappointed with fast shipping poor customer service stylish design excellent quality
positive,home appliances,excellent quality poor customer service fast shipping disappointed with highly recommend
positive,electronics,excellent quality fast shipping great product stylish design poor customer service stylish design easy to use great product disappointed with excellent quality poor customer service fast shipping excellent quality highly recommend fast shipping
neutral,electronics,value for money value for money perfect fit easy to use fast shipping excellent quality great product disappointed with fast shipping disappointed with great product
positive,home appliances,fast shipping highly recommend great product value for money easy to use excellent quality fast shipping
neutral,clothing,highly recommend great product highly recommend highly recommend highly recommend fast shipping stylish design
negative,home appliances,easy to use highly recommend great product great product excellent quality poor customer service easy to use poor customer service disappointed with stylish design disappointed with great product fast shipping perfect fit great product great product easy to use value for money stylish design
positive,clothing,perfect fit stylish design value for money poor customer service great product excellent quality value for money great product value for money excellent quality perfect fit value for money perfect fit disappointed with
positive,home appliances,excellent quality great product excellent quality disappointed with fast shipping poor customer service easy to use disappointed with easy to use great product excellent quality
negative,home appliances,perfect fit great product highly recommend excellent quality disappointed with poor customer service fast shipping disappointed with great product poor customer service excellent quality poor customer service
neutral,electronics,highly recommend excellent quality easy to use perfect fit excellent quality poor customer service fast shipping perfect fit highly recommend great product fast shipping excellent quality excellent quality poor customer service perfect fit fast shipping value for money
neutral,clothing,great product easy to use perfect fit excellent quality easy to use highly recommend value for money stylish design fast shipping
neutral,home appliances,perfect fit perfect fit highly recommend perfect fit excellent quality excellent quality
neutral,home appliances,highly recommend value for money highly recommend disappointed with great product perfect fit stylish design excellent quality stylish design easy to use disappointed with stylish design perfect fit fast shipping stylish design easy to use disappointed with excellent quality great product value for money
positive,clothing,disappointed with perfect fit perfect fit perfect fit stylish design value for money stylish design
negative,clothing,stylish design perfect fit stylish design poor customer service easy to use excellent quality disappointed with disappointed with stylish design stylish design excellent quality
neutral,electronics,disappointed with stylish design value for money poor customer service perfect fit disappointed with easy to use great product poor customer service excellent quality value for money
positive,home appliances,disappointed with great product great product value for money easy to use poor customer service value for money great product highly recommend poor customer service great product disappointed with poor customer service
negative,home appliances,disappointed with poor customer service disappointed with perfect fit fast shipping value for money
positive,home appliances,value for money value for money disappointed with fast shipping great product great product stylish design disappointed with perfect fit perfect fit
positive,electronics,fast shipping poor customer service perfect fit perfect fit stylish design stylish design highly recommend disappointed with stylish design fast shipping easy to use
negative,electronics,excellent quality value for money fast shipping stylish design value for money disappointed with excellent quality stylish design perfect fit poor customer service perfect fit stylish design perfect fit easy to use excellent quality poor customer service
positive,clothing,value for money fast shipping value for money poor customer service easy to use excellent quality excellent quality highly recommend great product highly recommend highly recommend highly recommend stylish design disappointed with disappointed with disappointed with
negative,home appliances,great product poor customer service stylish design highly recommend disappointed with value for money
neutral,electronics,easy to use great product easy to use stylish design fast shipping perfect fit
neutral,clothing,stylish design value for money value for money stylish design easy to use highly recommend perfect fit easy to use
neutral,home appliances,highly recommend highly recommend value for money easy to use great product great product disappointed with stylish design disappointed with perfect fit
positive,home appliances,great product perfect fit stylish design easy to use perfect fit poor customer service fast shipping disappointed with value for money excellent quality poor customer service perfect fit
